/Users/nithin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-11 12:51:57,499 - INFO - NSE session initialized successfully
2026-02-11 12:51:58,881 - INFO - HTTP Request: GET https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_equity_quotes?select=symbol&limit=2000 "HTTP/2 200 OK"
2026-02-11 12:51:58,888 - INFO - Found 506 symbols to process
2026-02-11 12:51:58,888 - INFO - Starting historical data sync for 506 symbols
2026-02-11 12:51:58,888 - INFO - Date range: 2023-12-04 to 2026-02-11
2026-02-11 12:51:58,888 - INFO - Processing 1/506: 360ONE
2026-02-11 12:51:58,888 - INFO - Fetching data for 360ONE from 2023-12-04 to 2026-02-11
2026-02-11 12:51:58,888 - INFO - Fetching NSE data for 360ONE from 2023-12-04 to 2026-02-11
2026-02-11 12:51:59,062 - ERROR - NSE API returned status 404
2026-02-11 12:51:59,062 - INFO - Falling back to Yahoo Finance for 360ONE
2026-02-11 12:51:59,063 - INFO - Fetching Yahoo Finance data for 360ONE.NS
2026-02-11 12:52:01,346 - INFO - Successfully fetched 541 records from Yahoo Finance
2026-02-11 12:52:02,026 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:02,077 - INFO - Stored 541 OHLC records
2026-02-11 12:52:02,230 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:02,232 - INFO - Updated sync status for 360ONE
2026-02-11 12:52:02,232 - INFO - Successfully synced 541 records for 360ONE
2026-02-11 12:52:03,234 - INFO - Processing 2/506: 3MINDIA
2026-02-11 12:52:03,234 - INFO - Fetching data for 3MINDIA from 2023-12-04 to 2026-02-11
2026-02-11 12:52:03,234 - INFO - Fetching NSE data for 3MINDIA from 2023-12-04 to 2026-02-11
2026-02-11 12:52:03,419 - ERROR - NSE API returned status 503
2026-02-11 12:52:03,419 - INFO - Falling back to Yahoo Finance for 3MINDIA
2026-02-11 12:52:03,419 - INFO - Fetching Yahoo Finance data for 3MINDIA.NS
2026-02-11 12:52:04,039 - INFO - Successfully fetched 541 records from Yahoo Finance
2026-02-11 12:52:04,403 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:04,498 - INFO - Stored 541 OHLC records
2026-02-11 12:52:04,647 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:04,649 - INFO - Updated sync status for 3MINDIA
2026-02-11 12:52:04,650 - INFO - Successfully synced 541 records for 3MINDIA
2026-02-11 12:52:05,653 - INFO - Processing 3/506: AADHARHFC
2026-02-11 12:52:05,658 - INFO - Fetching data for AADHARHFC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:05,667 - INFO - Fetching NSE data for AADHARHFC from 2023-12-04 to 2026-02-11
2026-02-11 12:52:11,517 - ERROR - NSE API returned status 503
2026-02-11 12:52:11,518 - INFO - Falling back to Yahoo Finance for AADHARHFC
2026-02-11 12:52:11,518 - INFO - Fetching Yahoo Finance data for AADHARHFC.NS
2026-02-11 12:52:12,609 - INFO - Successfully fetched 434 records from Yahoo Finance
2026-02-11 12:52:14,113 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:14,124 - INFO - Stored 434 OHLC records
2026-02-11 12:52:14,280 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:14,284 - INFO - Updated sync status for AADHARHFC
2026-02-11 12:52:14,284 - INFO - Successfully synced 434 records for AADHARHFC
2026-02-11 12:52:15,289 - INFO - Processing 4/506: AARTIIND
2026-02-11 12:52:15,290 - INFO - Fetching data for AARTIIND from 2023-12-04 to 2026-02-11
2026-02-11 12:52:15,290 - INFO - Fetching NSE data for AARTIIND from 2023-12-04 to 2026-02-11
2026-02-11 12:52:22,373 - ERROR - NSE API returned status 503
2026-02-11 12:52:22,374 - INFO - Falling back to Yahoo Finance for AARTIIND
2026-02-11 12:52:22,374 - INFO - Fetching Yahoo Finance data for AARTIIND.NS
2026-02-11 12:52:23,125 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:23,870 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:23,884 - INFO - Stored 542 OHLC records
2026-02-11 12:52:23,982 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:23,984 - INFO - Updated sync status for AARTIIND
2026-02-11 12:52:23,984 - INFO - Successfully synced 542 records for AARTIIND
2026-02-11 12:52:24,985 - INFO - Processing 5/506: AAVAS
2026-02-11 12:52:24,985 - INFO - Fetching data for AAVAS from 2023-12-04 to 2026-02-11
2026-02-11 12:52:24,986 - INFO - Fetching NSE data for AAVAS from 2023-12-04 to 2026-02-11
2026-02-11 12:52:25,386 - ERROR - NSE API returned status 404
2026-02-11 12:52:25,386 - INFO - Falling back to Yahoo Finance for AAVAS
2026-02-11 12:52:25,386 - INFO - Fetching Yahoo Finance data for AAVAS.NS
2026-02-11 12:52:26,372 - INFO - Successfully fetched 542 records from Yahoo Finance
2026-02-11 12:52:26,698 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/market_historical_ohlc?on_conflict=symbol%2Ctimeframe%2Ctimestamp&columns=%22close%22%2C%22high%22%2C%22symbol%22%2C%22volume%22%2C%22open%22%2C%22timeframe%22%2C%22low%22%2C%22adjusted_close%22%2C%22timestamp%22 "HTTP/2 201 Created"
2026-02-11 12:52:26,966 - INFO - Stored 542 OHLC records
2026-02-11 12:52:27,110 - INFO - HTTP Request: POST https://uywnylyarazecapuxjvh.supabase.co/rest/v1/rpc/update_sync_status "HTTP/2 204 No Content"
2026-02-11 12:52:27,113 - INFO - Updated sync status for AAVAS
2026-02-11 12:52:27,113 - INFO - Successfully synced 542 records for AAVAS
2026-02-11 12:52:28,114 - INFO - Processing 6/506: ABB
2026-02-11 12:52:28,115 - INFO - Fetching data for ABB from 2023-12-04 to 2026-02-11
2026-02-11 12:52:28,115 - INFO - Fetching NSE data for ABB from 2023-12-04 to 2026-02-11
2026-02-11 12:52:28,310 - ERROR - NSE API returned status 404
2026-02-11 12:52:28,310 - INFO - Falling back to Yahoo Finance for ABB
2026-02-11 12:52:28,310 - INFO - Fetching Yahoo Finance data for ABB.NS
2026-02-11 12:52:29,065 - INFO - Successfully fetched 542 records from Yahoo Finance
